i, pos_x(mm)
0, -54.885
1, -54.655
2, -54.425
3, -54.195
4, -53.965
5, -53.735
6, -53.505
7, -53.275
8, -53.045
9, -52.815
10, -52.585
11, -52.355
12, -52.125
13, -51.895
14, -51.665
15, -51.435
16, -51.205
17, -50.975
18, -50.745
19, -50.515
20, -50.285
21, -50.055
22, -49.825
23, -49.595
24, -49.365
25, -49.135
26, -48.905
27, -48.675
28, -48.445
29, -48.215
30, -47.985
31, -47.755
32, -47.525
33, -47.295
34, -47.065
35, -46.835
36, -46.605
37, -46.375
38, -46.145
39, -45.915
40, -45.685
41, -45.455
42, -45.225
43, -44.995
44, -44.765
45, -44.535
46, -44.305
47, -44.075
48, -43.845
49, -43.615
50, -43.385
51, -43.155
52, -42.925
53, -42.695
54, -42.465
55, -42.235
56, -42.005
57, -41.775
58, -41.545
59, -41.315
60, -41.085
61, -40.855
62, -40.625
63, -40.395
64, -40.165
65, -39.935
66, -39.705
67, -39.475
68, -39.245
69, -39.015
70, -38.785
71, -38.555
72, -38.325
73, -38.095
74, -37.865
75, -37.635
76, -37.405
77, -37.175
78, -36.945
79, -36.715
80, -36.485
81, -36.255
82, -36.025
83, -35.795
84, -35.565
85, -35.335
86, -35.105
87, -34.875
88, -34.645
89, -34.415
90, -34.185
91, -33.955
92, -33.725
93, -33.495
94, -33.265
95, -33.035
96, -32.805
97, -32.575
98, -32.345
99, -32.115
100, -31.885
101, -31.655
102, -31.425
103, -31.195
104, -30.965
105, -30.735
106, -30.505
107, -30.275
108, -30.045
109, -29.815
110, -29.585
111, -29.355
112, -29.125
113, -28.895
114, -28.665
115, -28.435
116, -28.205
117, -27.975
118, -27.745
119, -27.515
120, -27.285
121, -27.055
122, -26.825
123, -26.595
124, -26.365
125, -26.135
126, -25.905
127, -25.675
128, -25.445
129, -25.215
130, -24.985
131, -24.755
132, -24.525
133, -24.295
134, -24.065
135, -23.835
136, -23.605
137, -23.375
138, -23.145
139, -22.915
140, -22.685
141, -22.455
142, -22.225
143, -21.995
144, -21.765
145, -21.535
146, -21.305
147, -21.075
148, -20.845
149, -20.615
150, -20.385
151, -20.155
152, -19.925
153, -19.695
154, -19.465
155, -19.235
156, -19.005
157, -18.775
158, -18.545
159, -18.315
160, -18.085
161, -17.855
162, -17.625
163, -17.395
164, -17.165
165, -16.935
166, -16.705
167, -16.475
168, -16.245
169, -16.015
170, -15.785
171, -15.555
172, -15.325
173, -15.095
174, -14.865
175, -14.635
176, -14.405
177, -14.175
178, -13.945
179, -13.715
180, -13.485
181, -13.255
182, -13.025
183, -12.795
184, -12.565
185, -12.335
186, -12.105
187, -11.875
188, -11.645
189, -11.415
190, -11.185
191, -10.955
192, -10.725
193, -10.495
194, -10.265
195, -10.035
196, -9.805
197, -9.575
198, -9.345
199, -9.115
200, -8.885
201, -8.655
202, -8.425
203, -8.195
204, -7.965
205, -7.735
206, -7.505
207, -7.275
208, -7.045
209, -6.815
210, -6.585
211, -6.355
212, -6.125
213, -5.895
214, -5.665
215, -5.435
216, -5.205
217, -4.975
218, -4.745
219, -4.515
220, -4.285
221, -4.055
222, -3.825
223, -3.595
224, -3.365
225, -3.135
226, -2.905
227, -2.675
228, -2.445
229, -2.215
230, -1.985
231, -1.755
232, -1.525
233, -1.295
234, -1.065
235, -0.835
236, -0.605
237, -0.375
238, -0.145
239, 0.085
240, 0.315
241, 0.545
242, 0.775
243, 1.005
244, 1.235
245, 1.465
246, 1.695
247, 1.925
248, 2.155
249, 2.385
250, 2.615
251, 2.845
252, 3.075
253, 3.305
254, 3.535
255, 3.765
256, 3.995
257, 4.225
258, 4.455
259, 4.685
260, 4.915
261, 5.145
262, 5.375
263, 5.605
264, 5.835
265, 6.065
266, 6.295
267, 6.525
268, 6.755
269, 6.985
270, 7.215
271, 7.445
272, 7.675
273, 7.905
274, 8.135
275, 8.365
276, 8.595
277, 8.825
278, 9.055
279, 9.285
280, 9.515
281, 9.745
282, 9.975
283, 10.205
284, 10.435
285, 10.665
286, 10.895
287, 11.125
288, 11.355
289, 11.585
290, 11.815
291, 12.045
292, 12.275
293, 12.505
294, 12.735
295, 12.965
296, 13.195
297, 13.425
298, 13.655
299, 13.885
300, 14.115
301, 14.345
302, 14.575
303, 14.805
304, 15.035
305, 15.265
306, 15.495
307, 15.725
308, 15.955
309, 16.185
310, 16.415
311, 16.645
312, 16.875
313, 17.105
314, 17.335
315, 17.565
316, 17.795
317, 18.025
318, 18.255
319, 18.485
320, 18.715
321, 18.945
322, 19.175
323, 19.405
324, 19.635
325, 19.865
326, 20.095
327, 20.325
328, 20.555
329, 20.785
330, 21.015
331, 21.245
332, 21.475
333, 21.705
334, 21.935
335, 22.165
336, 22.395
337, 22.625
338, 22.855
339, 23.085
340, 23.315
341, 23.545
342, 23.775
343, 24.005
344, 24.235
345, 24.465
346, 24.695
347, 24.925
348, 25.155
349, 25.385
350, 25.615
351, 25.845
352, 26.075
353, 26.305
354, 26.535
355, 26.765
356, 26.995
357, 27.225
358, 27.455
359, 27.685
360, 27.915
361, 28.145
362, 28.375
363, 28.605
364, 28.835
365, 29.065
366, 29.295
367, 29.525
368, 29.755
369, 29.985
370, 30.215
371, 30.445
372, 30.675
373, 30.905
374, 31.135
375, 31.365
376, 31.595
377, 31.825
378, 32.055
